id,temperatura,ph,value_R,value_R_desv,value_G,value_G_desv,value_B,value_B_desv,value_I,value_I_desv,photo_src,date,lectura_id,nombre,cluster,fase
36,26.375,8.723828,43.609472,27.13916453375822,178.782112,34.19228048579761,113.55064,13.305850738724525,143.861568,29.493990245156315,photos/2025/02/13/photo_20250213_090002.jpg,2025-02-13 09:00:13,9,Cultivo1,0,Exponential
37,26.3125,8.707552,42.68728,27.07882129122049,177.46256,34.26140204729515,112.365488,12.887043345996783,142.624464,29.46934374418107,photos/2025/02/13/photo_20250213_100002.jpg,2025-02-13 10:00:13,10,Cultivo1,0,Exponential
38,26.1875,8.339714,43.487504,28.65893848157144,177.247536,36.073066156465046,112.363248,13.9897889851843,142.586672,31.13889285065248,photos/2025/02/13/photo_20250213_110002.jpg,2025-02-13 11:00:13,11,Cultivo1,0,Exponential
39,26.3125,8.34948,42.051824,26.75086696356588,172.026128,34.086228147561535,107.58176,12.13033825880482,137.927168,29.172956920747268,photos/2025/02/13/photo_20250213_120002.jpg,2025-02-13 12:00:13,12,Cultivo1,0,Exponential
40,26.3125,8.681511,40.114992,26.936213434573464,170.487168,34.25621081409583,106.121152,12.173044682409408,136.36728,29.32993831227062,photos/2025/02/13/photo_20250213_130002.jpg,2025-02-13 13:00:13,13,Cultivo1,0,Exponential
41,26.4375,8.704297,38.763536,27.215590343790527,167.774592,34.54997411335551,103.845824,12.2176464499798,133.936544,29.59358966627847,photos/2025/02/13/photo_20250213_140002.jpg,2025-02-13 14:00:13,14,Cultivo1,0,Exponential
42,26.625,8.671745,36.764784,25.370879307784666,164.481024,32.6978165618352,100.460768,11.191910714142782,130.762832,27.817386062313187,photos/2025/02/13/photo_20250213_150002.jpg,2025-02-13 15:00:13,15,Cultivo1,0,Exponential
43,26.6875,8.788933,35.33984,28.0298523956282,163.462016,35.467146899852885,99.688464,11.967076032782613,129.768656,30.32625106988439,photos/2025/02/13/photo_20250213_160002.jpg,2025-02-13 16:00:13,16,Cultivo1,0,Exponential
44,26.8125,8.814974,33.940464,25.36617685583699,159.082784,32.928711769659984,95.56928,10.898152112386027,125.802416,27.92055960332716,photos/2025/02/13/photo_20250213_170002.jpg,2025-02-13 17:00:13,17,Cultivo1,0,Exponential
45,26.875,8.841016,32.150304,26.41380354929475,157.741136,34.00149334116818,94.476208,10.86512810359749,124.484368,28.850419124175232,photos/2025/02/13/photo_20250213_180002.jpg,2025-02-13 18:00:13,18,Cultivo1,0,Exponential
46,26.875,8.876823,32.310304,26.639098480918907,156.5844,33.96868576556945,93.000352,10.912766808998716,123.385968,28.90207474737715,photos/2025/02/13/photo_20250213_190002.jpg,2025-02-13 19:00:13,19,Cultivo1,0,Exponential
47,26.875,8.798698,31.53192,25.336553024183537,154.673568,33.23954467421863,91.635856,10.435854594310904,121.759472,28.03320863335512,photos/2025/02/13/photo_20250213_200002.jpg,2025-02-13 20:00:13,20,Cultivo1,0,Exponential
48,26.8125,8.766146,28.135216,24.27923905430844,150.115824,32.25400701929954,87.238912,9.522468830788789,117.383472,27.015760830026903,photos/2025/02/13/photo_20250213_210002.jpg,2025-02-13 21:00:13,21,Cultivo1,0,Exponential
49,26.8125,8.814974,29.070736,25.199469770553826,150.215248,33.21607930353153,87.299712,9.849189429506572,117.56904,27.90221986649808,photos/2025/02/13/photo_20250213_220002.jpg,2025-02-13 22:00:13,22,Cultivo1,0,Exponential
50,26.8125,8.850781,28.121296,23.39803145803305,145.6504,31.473968225185715,82.791664,9.068785546057642,113.435712,26.244129154023305,photos/2025/02/13/photo_20250213_230002.jpg,2025-02-13 23:00:13,23,Cultivo1,0,Exponential
